,country,unmatched_forecast,forecast_freq,unmatched_sit,sit_freq
125,,,,hoppers,4.0
126,,,,Western Sahara,4.0
127,,,,Beirat Tourassine,3.0
128,,,,1228W,3.0
129,,,,National Park,3.0
130,,,,Parc National du Banc d’Arguin,3.0
131,,,,Senegal,3.0
132,,,,Banc,3.0
133,,,,Taziaset,3.0
134,,,,Bennichab (1928N/1525W),3.0
135,,,,Aoukar,3.0
136,,,,Tamreiket,3.0
137,,,,Oualata (1715N/0655W),3.0
138,,,,17N,3.0
139,,,,Richat (2107N/1124W),3.0
140,,,,m,3.0
141,,,,Aioun el Atrous,3.0
142,,,,north-,3.0
143,,,,Ghallaman,3.0
144,,,,Aftout Faye,3.0
145,,,,Ghalamane (2456N/1124W),3.0
146,,,,1221W,3.0
147,,,,Atlantic coast,3.0
148,,,,Mʼhaoudatt (2255N/1200W),3.0
149,,,,Nouakchott between Aguilal Faye (1827N/1444W) and Akjoujt (1945N/1421W),3.0
150,,,,Tasiast,3.0
151,,,,Inchiri near Bennichab (1932N/1512W),2.0
152,,,,Brakna (1802N/1230W),2.0
153,,,,the Senegal River Valley near Kaedi (1612N/1332W),2.0
154,,,,of Tiris-Zemmour near Bir Moghrein (2510N/1135W),2.0
155,,,,Erch El Guibli,2.0
156,,,,Bir Moghrein between W. Zouania (2535N/1116W) and W. El Mrhader,2.0
157,,,,Bir Amrane,2.0
158,,,,North Trarza,2.0
159,,,,Tidjikja (1829N/1139W),2.0
160,,,,ailés,2.0
161,,,,Grara de Tenemrourt (1945N/1325W),2.0
162,,,,Chinguetti (2025N/1224W),2.0
163,,,,1131W,2.0
164,,,,0940W,2.0
165,,,,Sahel,2.0
166,,,,southwest Adrar near Tmeimichat (2119N/1420W),2.0
167,,,,Mali border,2.0
168,,,,Morocco border,2.0
169,,,,Hodh Ech Chargui near Timbedra (1614N/0809W),2.0
170,,,,Tiris Zemmour between Zouerate (2244N/1221W) and Bir Moghrein (2510N/1135W),2.0
171,,,,Banc dʼArguin National Park,2.0
172,,,,Hodh El Charghi,2.0
173,,,,Akjoujt (1945N/1424W),2.0
174,,,,Trarza near Lac,2.0
175,,,,Hodh El Garbi near Aioun El Atrous,2.0
176,,,,Ban d’Arguin National Park,2.0
177,,,,Aoukar between Boutilimit (1740N/1446E) and Akjoujt,2.0
178,,,,Inmid,2.0
179,,,,mny,2.0
180,,,,Moudjeria (1746N/1231W),2.0
181,,,,Oudane (2055N/1125W),2.0
182,,,,Bir Mogrein (2510N/1135W),2.0
183,,,,Tree Locust,2.0
184,,,,Trarza near Rkiz,2.0
185,,,,Agane,2.0
186,,,,0756W,2.0
187,,,,1702N/ 0941W,2.0
188,,,,Takhça,2.0
189,,,,Agane (1818N/1231W),2.0
190,,,,sq m Fledging,2.0
191,,,,the Senegal River Valley near Rosso (1629N/1553W),2.0
192,,,,northeast Trarza,2.0
193,,,,Aftout,2.0
194,,,,Hodh Ech Chargui near Oualata (1715N/0700W),2.0
195,,,,north as Tidjikja (1833N/1126W),2.0
196,,,,Breeding,2.0
197,,,,Tidjikja (1832N/1125W),2.0
198,,,,Desert Locust,2.0
199,,,,Tagant between Magta Lahjar (1730N/1305W) and N’Beika (1758N/1215W),2.0
200,,,,Oudane,2.0
201,,,,Tamchekket (1714N/1040W) as,2.0
202,,,,of Tiris-Zemmour near Zouerate (2244N/1221W),2.0
203,,,,Trarza between Nouakchott and Moudjeria (1752N/1219W),2.0
204,,,,Adrar between Tidjikja (1829N/1131W) and Akjoujt (1945N/1421W),2.0
205,,,,1420W,2.0
206,,,,southwest Adrar near Oujeft (2003N/1301W),2.0
207,,,,N’Beika,2.0
208,,,,Tidjikjia,2.0
209,,,,instar,2.0
210,,,,Boumdeid,2.0
211,,,,Adrar near Tidjikja (1833N/1126W),2.0
212,,,,southeast between Timbedra (1614N/0809W) and Kiffa (1638N/1124W),2.0
213,,,,Takhca,2.0
214,,,,0842W,2.0
215,,,,El Atiyat (2530N/1110W),2.0
216,,,,Tenyemoumat as,2.0
217,,,,Magta Lahjar (1730N/1308W),2.0
218,,,,Richat,2.0
219,,,,-13W,2.0
220,,,,Adrar near Ouadane (2056N/1137W),2.0
221,,,,north between Guelb Er Richat and Zouerate (2244N/1221W),2.0
222,,,,moveinto,2.0
223,,,,Hodh Ech Chargui between Nema (1636N/0715W) and Oualata (1717N/0701W),2.0
224,,,,Rosso (1629N/1553W),2.0
225,,,,Oujeft (2003N/1301W) as,2.0
226,,,,southwest of Nema near Timbedra (1614N/0810W),2.0
227,,,,Moudjera (1750N/1250W),2.0
228,,,,Hodh Charghi,2.0
229,,,,Tintane (1623N/1009W),2.0
230,,,,Moudjera,2.0
231,,,,Tamassoumit,2.0
232,,,,1830N,2.0
233,,,,ﬁfth,2.0
234,,,,Tagant Plateau,2.0
235,,,,swarm,2.0
236,,,,Aioun el Atrouss (1640N/0937W),2.0
237,,,,rst instar hopper,2.0
238,,,,adults/,2.0
239,,,,Chinguetti,2.0
240,,,,Tiris-Zemmour near Zouerate,2.0
241,,,,southwest Adrar near Choum (2118N/1304W),2.0
242,,,,Inchiri between Akjoujt (1945N/1421W) and Bennichab (1932N/1512W),2.0
243,,,,Inchiri as,2.0
244,,,,Brakna inmid,2.0
245,,,,Kiffa (1635N/1125W),2.0
246,,,,Inchiri near Ouadane (2056N/1137W),2.0
247,,,,Agulal Faye,2.0
248,,,,Mauritania near Guelb Er Richat (2107N/1124W),2.0
249,,,,Tiris-Zemmour between Zouerate (2244N/1221W) and Bir Moghrein (2510N/1135W),2.0
250,,,,-12W,2.0
251,,,,Fderik (2240N/1241W),2.0
252,,,,Trarza near Rkiz (1658N/1514W),2.0
253,,,,Adrar between Akjoujt (1945N/1421W) and Oujeft (2003N/1301W),2.0
254,,,,mwere,2.0
255,,,,Tagant between Aguilal Faye (1827N/1444W) and Tidjikja (1833N/1126W),2.0
256,,,,Moroccan and Algerian borders,2.0
257,,,,Morocco,2.0
258,,,,Boumdeid (1726N/0950W),2.0
259,,,,Faye,2.0
260,,,,outbreak,2.0
261,,,,Mederdra (1655N/1540W),2.0
262,,,,Aioun El Atrous (1642N/0936E),2.0
263,,,,intensiﬁ ed,2.0
264,,,,Timbedra (1615N/0810W),2.0
265,,,,Tiris-Zemmour near Ghallaman (2410N/0952W),2.0
266,,,,east of Akjoujt near Grara de Tenemrourt (1945N/1325W),2.0
267,,,,Letvatar (1745N/1231W),2.0
268,,,,Oualata,2.0
269,,,,2534N/1054-1109W,2.0
270,,,,Aoukar Boutilimit,2.0
271,,,,Green Muscle,2.0
272,,,,east Trarza,2.0
273,,,,Trarza coast,2.0
274,,,,Oualata (1718N/0702W),2.0
275,,,,Afojjar,2.0
276,,,,Aioun el Atrous (1700N/0940W),2.0
277,,,,Oued El Ma,2.0
278,,,,16N,2.0
279,,,,southeast as,2.0
280,,,,Tagant near Tidjikja (1829N/1131W),2.0
281,,,,R’Kiz (1655N/1516W),2.0
282,,,,Bymid,2.0
283,,,,Tamreiket (2518N/1102W),2.0
284,,,,DL Bulletin No,2.0
285,,,,Tamchakett,2.0
286,,,,Morocco near Bir Guendouz (2124N/1634W),2.0
287,,,,Jbeilat (2235N/1113W),2.0
288,,,,Aouker Boutilimit,2.0
289,,,,Trarza between Aguilal Faye (1827N/1444W) and Moudjeria (1752N/1219W),2.0
290,,,,Tourassine,2.0
291,,,,Magta Lahjar,2.0
292,,,,1916N/1605W. Hatching,2.0
293,,,,Boumdeid (1726N/1120W),2.0
294,,,,1250W,2.0
295,,,,El Khatt,2.0
296,,,,Adrar near Guelb,2.0
297,,,,northeast,2.0
298,,,,northeast Brakna,2.0
299,,,,Hodh el Gharbi,2.0
300,,,,northwest Brakna,2.0
301,,,,Tiris Zemmour near Bir Moghrein (2510N/1135W),2.0
302,,,,Hodhs between Tintane (1623N/1009W) and Nema (1636N/0715W),2.0
303,,,,Aguilal Faye (1827N/1444W) as,2.0
304,,,,0937W,2.0
305,,,,-0949W,2.0
306,,,,Aleg (1703N/1356W),2.0
307,,,,2031N/,2.0
308,,,,Moudjeria (1750N/1250W),2.0
309,,,,south-east near Aioun El Atrous,2.0
310,,,,km,2.0
311,,,,Faye near Aguilal Faye (1827N/1444W),2.0
312,,,,northwest between Moudjeria (1751N/1228W) and Akjoujt (1945N/1421W),2.0
313,,,,18N,2.0
314,,,,Aoukar between Boutilimit (1740N/1446E) and Akjoujt (1945N/1421W),2.0
315,,,,Tagant near Tichit (1821N/0929W),2.0
316,,,,13W. Hopper,2.0
317,,,,Taziazet,2.0
318,,,,Zgueimir,2.0
319,,,,north between Zouerate (2244N/1221W) and Bir Moghrein (2510N/1135W),2.0
320,,,,north-west,2.0
321,,,,Inchiri coast,2.0
322,,,,Adrar between Tidjikja (1833N/1126W) and Atar (2032N/1308W),2.0
323,,,,Tamkarkart,2.0
324,,,,Amatlich,2.0
325,,,,Lebheir (1936N/1235W),2.0
326,,,,1932N/ 1259E,2.0
327,,,,the Dakhlet near Bou Lanouar (2116N/1630W),2.0
328,,,,Foum Gleita (1627N/1206W),2.0
329,,,,Frommid,2.0
330,,,,sq metre,2.0
331,,,,Timbedra (1614N/0810W),2.0
332,,,,km2,2.0
333,,,,Bir Moghrein (2510N/1135W) between W. Zouania (2535N/1116W) and W. El Mrhader (2535N/1105W),2.0
334,,,,northwest near Tmeimichat (2119N/1420W),2.0
335,,,,Akchar,2.0
336,,,,Band,2.0
337,,,,Aftout Fai,1.0
338,SENEGAL,Convergence Zone,4.0,Senegal River Valley,11.0
339,SENEGAL,Senegal River Valley,3.0,Richard Toll (1626N/1541W),8.0
340,SENEGAL,ITCZ,3.0,Saint Louis (1601N/1629W),7.0
341,SENEGAL,Casamance,2.0,Mauritania,7.0
342,SENEGAL,Mali,2.0,Sedihou (1251N/1535W),5.0
343,SENEGAL,Tambacounda,2.0,north,4.0
344,SENEGAL,Senegal River,2.0,Dakar,4.0
345,SENEGAL,Mauritania,2.0,Dagana (1631N/1530W),4.0
346,SENEGAL,southeast,2.0,Tambacounda,3.0
347,SENEGAL,movesouth,1.0,ﬁ,3.0
348,SENEGAL,movefurther,1.0,Ndioum (1630N/1438W),3.0
349,SENEGAL,Inter,1.0,Sahel,3.0
350,SENEGAL,south,1.0,Kaolack,2.0
351,SENEGAL,Mali as,1.0,Niokoloba National Park,2.0
352,SENEGAL,drift,1.0,south as Ndebele (1421N/1610W),2.0
353,,,,km2,2.0
354,,,,Casamance,2.0
355,,,,south as Tataguine (1427N/1638W),2.0
356,,,,ha,2.0
357,,,,1358W,2.0
358,,,,east near Bakel (1454N/1226W),2.0
359,,,,Diourbel (1439N/1612W),2.0
360,,,,Lac de Guiers,2.0
361,,,,the Senegal River Valley near Richard Toll (1626N/1541W),2.0
362,,,,Keur Momar Sarr (1555N/1558W),2.0
363,,,,Guinea Bissau border,2.0
364,,,,swarm,2.0
365,,,,the Senegal River Valley near Matam (1540N/1318W),2.0
366,,,,Bakel (1454N/1226W),2.0
367,,,,south as,2.0
368,,,,Bignona (1248N/1618W),2.0
369,,,,Thikite,2.0
370,,,,Senegal,2.0
371,,,,md,2.0
372,,,,Senegal River Valley between Matam and Bakel,2.0
373,,,,Louga,2.0
374,,,,Senegal River Valley between Mauritania and Senegal,2.0
375,,,,Guinea,2.0
376,,,,Lake Guier,2.0
377,,,,Thies (1449N/1652W),2.0
378,,,,Tambacounda (1345N/1340W),2.0
379,,,,Casamance as,2.0
380,,,,Matam (1540N/1318W),2.0
381,,,,east as Matam (1540N/1318W),2.0
382,,,,Saraya (1250N/1146W),2.0
383,,,,Fatick,2.0
384,,,,the Senegal River Valley near Podor (1640N/1457W),2.0
385,,,,southeast,2.0
386,,,,Senegal River between Dagana (1631N/1530W) and Matam (1540N/1318W),2.0
387,,,,south,2.0
388,,,,Gambian border,2.0
389,,,,Matam,2.0
390,,,,Velingara (1310N/1410W),2.0
391,,,,Mali,2.0
392,,,,Dakar (1442N/1728W),2.0
393,,,,Thies,2.0
394,,,,Kolda (1256N/1455W),2.0
395,,,,Mbake (1448N/1555W),2.0
396,,,,Linguere (1524N/1507W),2.0
397,,,,east,1.0
398,MALI,Adrar des Iforas,165.0,Aguelhoc (1927N/0052E),37.0
399,MALI,Tamesna,87.0,Kayes (1426N/1128W),29.0
400,MALI,Tilemsi Valley,78.0,Kidal (1827N/0125E),28.0
401,MALI,Timetrine,66.0,Nara (1510N/0717W),24.0
402,MALI,Tombouctou,13.0,Timetrine,24.0
403,MALI,Algeria,8.0,Ti-n,21.0
404,MALI,north,7.0,Algerian border,21.0
405,MALI,northwest,6.0,Tilemsi Valley,21.0
406,MALI,Mauritania,6.0,Gao,17.0
407,MALI,Araouane,4.0,Tin Essako (1826N/0229E),16.0
408,MALI,Morocco,4.0,Nioro (1512N/0935W),16.0
409,MALI,Senegal,4.0,Mopti (1430N/0415W),15.0
410,MALI,Tilemsi,3.0,Tessalit,13.0
411,MALI,ITCZ,3.0,Tombouctou,12.0
412,MALI,Mauritanian border,3.0,Tombouctou (1649N/0259W),11.0
413,MALI,northeast,3.0,Gao (1616N/0003W),11.0
414,MALI,Nioro,3.0,Tessalit (2011N/0102E),11.0
415,MALI,Gourma,2.0,Aguelhoc,10.0
416,MALI,Gao,2.0,north,10.0
417,MALI,Tilemsi Valley as,2.0,Tamesna,9.0
418,MALI,locust,2.0,md,9.0
419,MALI,Northwest Africa,2.0,Kidal,8.0
420,MALI,Mali,2.0,Hombori (1516N/0140W),8.0
421,MALI,Atlas Mountains,2.0,west,8.0
422,MALI,north-west,2.0,Adrar des Iforas,7.0
423,MALI,Algerian border,2.0,sq,7.0
424,MALI,south-,2.0,Mauritanian border,7.0
425,MALI,south,2.0,Niger border,6.0
426,MALI,east inmid,1.0,0052E,6.0
427,MALI,southern,1.0,Tin,6.0
428,MALI,west,1.0,Niger River,6.0
429,MALI,movefurther,1.0,Gourma (1653N/0155W),6.0
430,MALI,Niger River,1.0,Mopti,6.0
431,MALI,Mopti,1.0,south,6.0
432,MALI,Menaka,1.0,sq m,6.0
433,MALI,Sahel,1.0,the Adrar des Iforas near Aguelhoc (1927N/0052E),6.0
434,MALI,Adrar,1.0,Aguelhok,5.0
435,MALI,movefurther west,1.0,Adrar,5.0
436,MALI,Guinea,1.0,sq mtre,5.0
437,MALI,Aguelhoc,1.0,the Timetrine near Ti-n,4.0
438,MALI,west near Tombouctou,1.0,Mauritania,4.0
439,MALI,Nara,1.0,the Timetrine near Tinkar,4.0
440,MALI,Hombori,1.0,mst,4.0
441,MALI,Mediterranean,1.0,Segou,4.0
442,MALI,Locust,1.0,southwest,4.0
443,MALI,NorthWest Africa,1.0,Bymid,4.0
444,,,,Desert Locust,4.0
445,,,,rst,4.0
446,,,,0022W,4.0
447,,,,Adrar des Iforas near Aguelhoc (1927N/0052E),4.0
448,,,,the Adrar des Iforas near Tessalit (2011N/0102E),4.0
449,,,,Aguelhok (1927N/0052E),4.0
450,,,,rm,3.0
451,,,,W. Tahalt,3.0
452,,,,Marcouba,3.0
453,,,,Tin Aicha (1649N/0359W),3.0
454,,,,Taoudenni (2240N/0358W),3.0
455,,,,Mali,3.0
456,,,,African Migratory Locust,2.0
457,,,,W. Marat (1930N/0048E),2.0
458,,,,Amsir (1959N/0145E),2.0
459,,,,W. Inabsar (2013N/0014E),2.0
460,,,,Tacharak (1932N/0016W),2.0
461,,,,the Niger River near Ansongo (1539N/0030W),2.0
462,,,,Tin Kar,2.0
463,,,,Adjerakane (1831N/0208E) between Kidal (1827N/0125E) and Tin Essako (1826N/0229E),2.0
464,,,,Bolrech (2046N/0107E),2.0
465,,,,Wadi Ibrouladj,2.0
466,,,,Aril (1910N/0005W),2.0
467,,,,TinDjelaline (2059N/0018W),2.0
468,,,,Wadi,2.0
469,,,,Assamalmat (1905N/0024W),2.0
470,,,,east of Gao near I-N,2.0
471,,,,Marat (1929N/0042E),2.0
472,,,,Tin Amazagh (1739N/0350E),2.0
473,,,,N’Karba (1805N/0316W),2.0
474,,,,Gourma Rharous,2.0
475,,,,Tree Locust,2.0
476,,,,In-Bolrech,2.0
477,,,,Niono,2.0
478,,,,Tessalit (2011N/0105E),2.0
479,,,,Adrar des Iforas between Tissealine (1939N/0205E) and Tadjodjemet,2.0
480,,,,Aneﬁ s,2.0
481,,,,Araouane,2.0
482,,,,Taouloust (1919N/0033E),2.0
483,,,,bush,2.0
484,,,,1850N/ 0039E,2.0
485,,,,Kidal between Wadi Alkit (1811N/0113E) and Wadi Edjerer (1810N/0145E),2.0
486,,,,0025E,2.0
487,,,,InTillit (2050N/0112E),2.0
488,,,,Adrar des Iforas between Kidal (1827N/0125E) and Aguelhoc (1927N/0052E),2.0
489,,,,Inforaten (1730N/0154E),2.0
490,,,,Telli (1622N/0251E),2.0
491,,,,Bamako,2.0
492,,,,Adrar des Iforas near Kidal,2.0
493,,,,Desert Locusts,2.0
494,,,,of the Adrar des Iforas near Aguelhok,2.0
495,,,,Tilemsi Valley between Aguelhoc (1927N/0052E) and Ti-n,2.0
496,,,,Timetrine near Erg Lahmar (1856N/0016E),2.0
497,,,,Iforas Aguelhok (1927N/0052E),2.0
498,,,,of the Adrar des Iforas near Aguelhoc (1927N/0052E ),2.0
499,,,,Temedhe,2.0
500,,,,instar,2.0
501,,,,Timetrine between Aguelhoc (1927N/0052E) and Ti-n,2.0
502,,,,Eridjane (1952N/0037E),2.0
503,,,,Laya (1755N/0339E),2.0
504,,,,Tilemsi,2.0
505,,,,W.,2.0
506,,,,Tidjalaline (1749N/0216E),2.0
507,,,,W. Admar (1930N/0035W),2.0
508,,,,16N as,2.0
509,,,,the Adrar des Iforas near Aguelhok,2.0
510,,,,Bolrech,2.0
511,,,,Burkina Faso border,2.0
512,,,,the Adrar des Iforas near Kidal (1827N/0125E),2.0
513,,,,Adrar des Iforas near Tahort (1943N/0107E),2.0
514,,,,Assikad (1924N/0001W),2.0
515,,,,Bir Bou Mokhtar (2119N/0057E),2.0
516,,,,Anoumallen,2.0
517,,,,Egharghar (1944N/0037E),2.0
518,,,,Mare Takadji,2.0
519,,,,Dardar (1913N/0003W),2.0
520,,,,W. Edjerer (1748N/0103W),2.0
521,,,,Kayes,2.0
522,,,,Ratai (1928N/0051E),2.0
523,,,,Arkad (1738N/0022W),2.0
524,,,,Checker (1943N/0015E),2.0
525,,,,Tahalt (1912N/0052E),2.0
526,,,,Tarlit,2.0
527,,,,of the Adrar des Iforas near Etambar (1827N/0124E),2.0
528,,,,Sahel,2.0
529,,,,n-Zaouatene,2.0
530,,,,swarm,2.0
531,,,,west of Tombouctou near Lac Faguibine (1645N/0417W),2.0
532,,,,ﬁ,2.0
533,,,,Koulikoro,2.0
534,,,,0102E,2.0
535,,,,0025W,2.0
536,,,,Amaka (1642N/0044W),2.0
537,,,,m,2.0
538,,,,W. Takorkat (2030N/0036E),2.0
539,,,,Tilemsi (2035N/0055E),2.0
540,,,,Ikadaouaten (2044N/0048E),2.0
541,,,,Gossi (1549N/0109W),2.0
542,,,,Akelo (1755N/0251E),2.0
543,,,,southern,2.0
544,,,,Adjar (1736N/0152E),2.0
545,,,,00E,2.0
546,,,,Iforas,2.0
547,,,,W. Taouhouten,2.0
548,,,,Azar (1627N/0022E),2.0
549,,,,Laya (1759N/0325E),2.0
550,,,,Lac Fate (1616N/0342W),2.0
551,,,,Gossi,2.0
552,,,,Assamamal (1905N/0023W),2.0
553,,,,Adrar between Gao and Tabankort (1749N/0019E),2.0
554,,,,-eastern Timetrine,2.0
555,,,,Tibagaten (1934N/0044E),2.0
556,,,,Amachach (2021N/0046E),2.0
557,,,,Terchichout (1924N/0010W),2.0
558,,,,Doro,2.0
559,,,,Boureissa,2.0
560,,,,Algomitane (1758N/0258E),2.0
561,,,,Aguibar (1632N/0350W),2.0
562,,,,Tirikfen,2.0
563,,,,Tikardjaten,2.0
564,,,,Tachalrhe (2020N/0043E),2.0
565,,,,Inaouinass,2.0
566,,,,Edjerer (1953N/0130E),2.0
567,,,,Guinea,2.0
568,,,,north near Tessalit,2.0
569,,,,Assamamal (1906N/0024W),2.0
570,,,,Edjerer,2.0
571,,,,Tin Eridjane,2.0
572,,,,3rd,2.0
573,,,,0029W,2.0
574,,,,"10,000/",2.0
