,YEAR,MONTH,COUNTRY,SITUATION,FORECAST,REGION
39,1996,DEC,MAURITANIA,"Late information confirms a northern mvement of immature  swarms  in  md  October  in  northern Mauritania near Guelb Er Richat (2107N/1124W) and also in late November near Nouakchott, Atar (2031N/ 1303W) and in Tiris Zemmour. During  the  first  decade  of  December,  small populations  of  immature  adults  were  present  near Nouakchott and south-west of Akjoujt (1945N/1424W). Several small immature swarms were present in the Amatlich area south of Atar and to the west of Tidjikja (1829N/1139W) in western Tagant. These varied in size from 5 to 70 ha at densities up to 20 adults per sq metre. Some of these were reported to be settled in crops near Amatlich. Others were seen mving towards the north. Control teams treated nearly 400 ha in both areas. In the north, two small mature groups of adults were seen in the El Hank area at 2349N/0719 on the 7th. During the last two decades, infestations persisted in the above areas but had gradually declined by the end of  the   month.  Control  operations  were  carried  out against  a  few  immature  groups  and  swarms  were treated south of Atar and near Nouakchott. There were several  reports  of  immature  swarms  mving  south along the coast from Nouakchott to the Senegal River Valley from md  month onwards. A swarm was reported on trees west of Aioun El Atrous (1640N/0937W) on the 15th which was later seen mving northwards. Another swarm was seen near Kiffa (1635N/1125W) on the 27th. There were several other reports from northern Mauritania of immature swarms flying north between Guelb Er Richat and Zouerate (2244N/1221W), and isolated adults were seen near Bir Moghrein (2510N/ 1135W). A total of 678 ha were treated during the period.","Small  infestations  of  adults  will  persist  near Nouakchott and in parts of Inchiri. Adults and a few swarms will also persist between Tidjikja and Zouerate and further north in the El Hank area. Adults will slowly mature during the forecast period. Some swarms my move further north, especially during periods of warm southerly and south-westerly winds associated with eastward mving depressions over the Mediterranean. If rainfall occurs and temperatures are warm, some laying my occur by the end of the forecast period.",WEST AFRICA
40,1996,DEC,MALI,,Isolated adults my be present and will persist in some parts of the Adrar des Iforas.,WEST AFRICA
41,1996,DEC,NIGER,"Previous infestations in Tamesna were reported to be decreasing by late November and early December and most had fledged into immature adults. A few third to fifth instar hoppers persisted at Iguidi (1750N/0558E). Scattered immature adults were seen at In Zinkad (1807N/0546E) at densities up to 500 per ha and in the Iguidi area at densities of 1,000-1,500 per ha in areas of 200-500 ha up to 8 December.",Low numbers of adults are expected to persist in a few areas of central Tamesna.,WEST AFRICA
42,1996,DEC,SENEGAL,,There is a low risk of a few small swarms appearing in the Senegal River Valley from the north early in the forecast period. These are likely to movesouth on prevailing winds.,WEST AFRICA
43,1996,DEC,BURKINA  FASO,,No significant developments are likely.,WEST AFRICA
44,1996,DEC,CAPE  VERDE,,No significant developments are likely.,WEST AFRICA
45,1996,DEC,CHAD,,No significant developments are likely.,WEST AFRICA
46,1996,DEC,GAMBIA,,No significant developments are likely.,WEST AFRICA
47,1996,DEC,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
48,1996,DEC,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
49,1996,DEC,MOROCCO,"During the first half of December, several small low to medium density immature swarms arrived south of Agadir  in  the  Goulimime  (2856N/1004W)  area. Infestations  were  scattered  north  of  Oued  Draa between  Tan-Tan  (2830N/1120W)  and  Foum  El Hassane (2859N/0855W). Some swarms reached the southern side of the Anti-Atlas Mountains. Swarms varied in density from 1-60 adults per sq mtre; mst were less than 10. Swarm size ranged from 40 ha to 30 sq. km, although mst were less than 3 sq km. On the 13th, two small swarms entered the southern Souss Valley  north  of  Tiznit  (2952N/0944W).  Aerial  and ground control operations treated ()more() than 9,000 ha during the period.",Additional swarm mvement is expected further east and north-east along the southern side of the Atlas Mountains towards the Algerian border. Some of these swarms my movefurther north along the coast into the Souss Valley. Movement is mst likely to occur during periods of warm southerly and south-westerly winds associated with eastward mving depressions over the Mediterranean. Adults and swarms will slowly mature and start laying towards the end of the forecast period.,NORTH-WEST AFRICA
50,1996,DEC,ALGERIA,Scattered transiens adults were seen in the Ahnet region west of the Hoggar Mountains at 2458N/0313E on 7 December. One immature gregarious adult was reported  near  the  Moroccan  border  north-east  of Tindouf at Oum Lassel (2837N/0634W) on the 10th.,There is a moderate risk of immature adults and a few small swarms appearing south of the Moroccan border between Tindouf and Bechar. This is mst likely to occur during periods of warm southerly and southwesterly winds associated with eastward mving depressions  over  the  Mediterranean.  Similar populations my also appear south of Tindouf from adjacent areas in northern Mauritania. Low numbers of adults are expected to persist in a few places of the central and southern Sahara. Adults will slowly mature and could start laying by the end of the forecast period.,NORTH-WEST AFRICA
51,1996,DEC,TUNISIA,,Scattered adults my be present in a few places of the south where they could breed in areas of recent rainfall.,NORTH-WEST AFRICA
52,1996,DEC,LIBYA,,Scattered adults my be present in a few places of the west and north-west where they could breed in areas of recent rainfall.,NORTH-WEST AFRICA
53,1996,DEC,SUDAN,A late report indicated that scattered immature adults at densities of 175-550 adults per ha were present at several places in the Tokar Delta on 3 November and again on the 30th at densities of 100-500 per ha. No locusts were seen during surveys along the coastal plains from Tokar to Suakin and north of Port Sudan nor in adjacent subcoastal areas of Wadi Oko/Diib up to 17 December.,Low numbers of adults will persist in the Tokar Delta and in a few places along the Red Sea coastal plains south to Karora and north to Suakin. These are expected to lay eggs and hoppers should appear during the forecast period. Scattered adults my be present further north towards the Egyptian border and in adjacent interior areas of Wadi Oko/Diib where they may be breeding.,EASTERN AFRICA
54,1996,DEC,ERITREA,Scattered  solitary  adults  were  reported  on  the southern coast west of Assab at Debaysima (1243N/ 4217E) on 50 ha on 18 December. No locusts were seen elsewhere on the coastal plains during surveys at mid  month.,"Low numbers of adults are likely to be present and breeding in a few places along the Red Sea coastal plains from Assab to Karora. As a result, hoppers are likely to appear during the forecast period.",EASTERN AFRICA
55,1996,DEC,ETHIOPIA,No locusts were seen during surveys carried out in the  south-east  near  Jijiga  (0920N/4240E)  and Degehbur (0820N/4340E) on 18-25 December.,No significant developments are likely.,EASTERN AFRICA
56,1996,DEC,SOMALIA,"Isolated mature adults were only seen at Biyo Dader (1020N/4522E) and Hodmo (1040N/4618E) on 4 and 6 December,  respectively,  during  surveys  along  the northern coast and in the interior east of Berbera.",Scattered adults are expected to persist along some parts of the north-west coastal plains and adjacent areas of the interior.,EASTERN AFRICA
57,1996,DEC,DJIBOUTI,,No significant developments are likely.,EASTERN AFRICA
58,1996,DEC,KENYA,,No significant developments are likely.,EASTERN AFRICA
59,1996,DEC,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
60,1996,DEC,UGANDA,,No significant developments are likely.,EASTERN AFRICA
61,1996,DEC,SAUDI ARABIA,"Scattered mature adults at densities of up to 20 per ha were reported at a few locations during December on the Red Sea coastal plains and near the foothills of the  Asir  Mountains.  These  were  present  between Qunfidah (1909N/4107E) and Lith (2010N/4020E), in the Mecca (2126N/3949E) area and up to about 90 km north of Jeddah (2130N/3910E). Similar populations were  also  seen  on  the  eastern  side  of  the  Asir Mountains just east of Taif (2115N/4021E).","Low numbers of adults will persist along the Red Sea coastal plains and in subcoastal areas from Jizan to north of Jeddah where they are expected to lay eggs. As a result, hoppers are likely to appear during the forecast period. Similar populations my be present further north along the coastal plains to Al-Wajh.",NEAR EAST
62,1996,DEC,YEMEN,,"Low numbers of adults are likely to be present and breeding in places along the Red Sea coastal plains. As a result, hoppers are likely to appear during the forecast period. Smaller infestations my be present on the Gulf of Aden plains.",NEAR EAST
63,1996,DEC,EGYPT,"Isolated mature adults, up to 10 per location, were present at several places on the southern Red Sea coastal plains and adjacent interior areas between Halaib (2212N/3635E) and Shlatein (2308N/3536E) up to 20 December. No locusts were seen during surveys in the Nile River Valley, the central Red Sea coast and the Sinai Peninsula.","Low numbers of adults are expected to persist and breed on the southern Red Sea coastal plains and in adjacent interior areas. As a result, hoppers are likely appear during the forecast period.",NEAR EAST
64,1996,DEC,KUWAIT,No locusts were reported during November.,No significant developments are likely.,NEAR EAST
65,1996,DEC,BAHRAIN,,No significant developments are likely.,NEAR EAST
66,1996,DEC,IRAQ,,No significant developments are likely.,NEAR EAST
67,1996,DEC,ISRAEL,,No significant developments are likely.,NEAR EAST
68,1996,DEC,JORDAN,,No significant developments are likely.,NEAR EAST
69,1996,DEC,OMAN,,No significant developments are likely.,NEAR EAST
70,1996,DEC,QATAR,,No significant developments are likely.,NEAR EAST
71,1996,DEC,SYRIA,,No significant developments are likely.,NEAR EAST
72,1996,DEC,TURKEY,,No significant developments are likely.,NEAR EAST
73,1996,DEC,UAE,,No significant developments are likely.,NEAR EAST
74,1996,DEC,PAKISTAN,No locusts were reported during December.,"Low numbers of adults my be present in coastal and interior areas of Baluchistan. If temperatures remain unusually warm, some of the these could lay during the forecast period near Panjgur and, if additional rainfall occurs, elsewhere in Baluchistan.",SOUTH-WEST ASIA
75,1996,DEC,INDIA,No locusts were seen during surveys carried out in December.,Low numbers of solitary adults my persist in a few places of Rajasthan.,SOUTH-WEST ASIA
76,1996,DEC,IRAN,,Low numbers of adults my be present in coastal and interior areas of Baluchistan.,SOUTH-WEST ASIA
77,1996,DEC,AFGHANISTAN,,No significant developments are likely.,SOUTH-WEST ASIA
78,1996,JULY,MAURITANIA,"Locust numbers increased during the first half of July in the south-west and south-east where solitary adults were present west of Aleg (1702N/1358W) and east of Nema (1632N/0712W). Most of the infestations consisted  either of individual adults or scattered adults at densities of less than 50 per ha covering from 20-100 ha. There was one location where densities were as high as 120 adults per ha. On the 11th, nomads saw a small low density group of adults heading south-east near Aioun El Atrous (1639N/ 0937W) and a mature swarm was seen near Nema on the 15th. During the second half of the  month, infestations persisted in the above areas. On 21-25 July, there were a total of seven reports of low density swarms moving south in Inchiri north of Nouakchott (1809N/ 1558W) and near Akjoujt (1944N/1420W), in southern Adrar, in south-western Trarza near Lac R’Kiz, and near Tidjikja (1829N/1131W).","Additional adults and perhaps a few small swarms are likely to appear in central and southern areas early in the forecast period. Breeding is expected to be in progress in some areas of the south, especially in the two Hodhs where recent rainfall has been the heaviest and to a lesser extent in southern Trarza. Breeding will continue and probably extend to other central and southern areas. Low numbers of hoppers are likely to appear from early August onwards and fledge by the end of the forecast period.",WEST AFRICA
79,1996,JULY,SENEGAL,"Very low densities of immature adults, up to 10 adults per ha, were seen on 21 July in the Senegal River Valley at two locations near Thikite (1608N/ 1358W) within 500 ha and 800 ha respectively.","Throughout the forecast period, low numbers of adults are expected to moveback and forth across the border in the Senegal River Valley. Additional adults that arrive in the north are expected to lay and low numbers of hoppers should appear during August.",WEST AFRICA
80,1996,JULY,MALI,"A late report indicated that hopper infestations were present in Wadi Tinkar (1927N/0026W) in late June and early July. Adults were seen at several locations in the northern Adrar des Iforas from Aguelhoc (1927N/0051E) to the Algerian border during the first decade of July. Swarms were said to be present on the other side of the border from Ti-n-Zaouatene (1956N/ 0258E). In late July, adults continued to appear in the north from North-West Africa and there was an unconfirmed report of a mature swarm east of Gao near I-N-Telli (1622N/0251E).","Breeding will continue in the north, minly in the Adrar des Iforas, and is likely to extend to other areas such as southern Tamesna and near Tombouctou where recent rains have fallen. This is likely to be augmented by adults that come from the north in early August and lay. Consequently, low to moderate numbers of hoppers and new adults will appear throughout the forecast period that could form small bands and swarms.",WEST AFRICA
81,1996,JULY,NIGER,,"Low to moderate numbers of maturing adults and perhaps a few small swarms are expected to be present in parts of Tamesna and to a lesser extent in the Air. Some of these my already be breeding while others are expected to continue to mature and lay. Current infestations are likely to be augmented by adults that come from the north in early August and lay. Consequently, hoppers and new adults will appear during the forecast period that could form small bands and swarms.",WEST AFRICA
82,1996,JULY,CHAD,A late report stated that no locusts were present during June.,"Low to moderate numbers of adults my be present in Tibesti , southern Ennedi and Biltine and breeding in areas where rains my have recently fallen. Consequently, hoppers and new adults will appear during the period.",WEST AFRICA
83,1996,JULY,BURKINA FASO,,No significant developments are likely.,WEST AFRICA
84,1996,JULY,CAPE VERDE,,No significant developments are likely.,WEST AFRICA
85,1996,JULY,GAMBIA,,No significant developments are likely.,WEST AFRICA
86,1996,JULY,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
87,1996,JULY,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
88,1996,JULY,ALGERIA,"During the first half of July, control operations continued against newly formed immature swarms albeit on a mch smaller scale than in June. The size of the swarms were generally less than 100 ha, although there were a few up to 190 ha. Swarm densities varied from 10-50 adults per sq mtre with a few up to 200 adults per sq m Most of the infestations were concentrated in the Tamanrasset (2250N/0528E) area and to a lesser extent near Illizi (2630N/0830E), with a few near Djanet (2434N/ 0930E). There were also reports of swarms south of Tamanrasset between Silet (2240N/0434E) and the Malian border. Scattered adults persisted at several places north-west of Tamanrasset near Adrar (2751N/ 0019W). A total of 2,451 ha were treated during the period.","Infestations will continue to decline due to control operations. Those that escape detection and control will movesouth towards the Sahel early in the forecast period. Consequently, adult numbers my increase in the extreme south adjacent to the borders of Mali and Niger.",NORTH-WEST AFRICA
89,1996,JULY,MOROCCO,No locusts were reported during July.,No significant developments are likely.,NORTH-WEST AFRICA
90,1996,JULY,LIBYA,,"Low to moderate numbers of late instar hoppers and new adults my be present in the west near the Algerian border as a result of previous breeding. If so, these infestations will decline during the forecast period as adults movesouth towards the Sahel.",NORTH-WEST AFRICA
91,1996,JULY,TUNISIA,,No significant developments are likely.,NORTH-WEST AFRICA
92,1996,JULY,SUDAN,"A late report stated that solitary immature adults at densities of 10-15 adults per ha were seen in the Eastern Region near Umm Shdida (1627N/3425E) during surveys carried out on 21-24 June. Small scattered infestations of mature solitary adults were seen near the Chad border in Northern Darfur at a few places west of Abu Laha (1438N/2349E) on the 29th. No locusts were seen west of Khartoum on 27-29 June. During July, there was an unconfirmed report of swarm near the Chad border in Northern Darfur flying towards the north-east on the 5th at Um Dura (1503N/ 2344E). Mature solitary adults mxed with Tree Locust were seen in the Central Region at Umm Rimta (1450N/3202E) on 2 ha at a density of 100 adults per ha on the 16th. No locusts were seen near Kosti, in the W. Milk and Bara areas of Northern Kordofan and near El Geneina in Northern Darfur during early July.","Locusts will persist in the Eastern Region and are expected to increase there and in Northern Darfur and Northern Kordofan  as a result of any adults that appear from the west and from breeding in areas of recent rainfall. Consequently, low numbers of hoppers are likely to appear during the forecast period.",EASTERN AFRICA
93,1996,JULY,SOMALIA,,Low numbers of hoppers and new adults my appear during the forecast period as a result of small scale breeding in areas along the north-west coast and interior that have received recent rainfall. Breeding my also occur further east along the coastal plains near Las Koreh.,EASTERN AFRICA
94,1996,JULY,ERITREA,,Low numbers of hoppers and new adults my appear during the forecast period as a result of small scale breeding in parts of the western lowlands that have received recent rainfall.,EASTERN AFRICA
95,1996,JULY,ETHIOPIA,,"Low numbers of adults my be present near Dire Dawa and lay in areas of recent rains. Consequently, hoppers are likely to appear during the forecast period.",EASTERN AFRICA
96,1996,JULY,DJIBOUTI,,No significant developments are likely.,EASTERN AFRICA
97,1996,JULY,KENYA,,No significant developments are likely.,EASTERN AFRICA
98,1996,JULY,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
99,1996,JULY,UGANDA,,No significant developments are likely.,EASTERN AFRICA
100,1996,JULY,SAUDI ARABIA,No locusts were reported up to 29 July.,"Scattered adults my be present on the southern Red Sea coastal plains near Jizan and breeding in areas of recent rainfall. If so, a few hoppers could appear during the forecast period. There is a possibility of adults present in the south-western portion of the Empty Quarter and near Wadi Najran.",NEAR EAST
